"YearsSinceBurn","Compound","Concentration"
"410",2,"alpha.eudesmol",0.6
"411",2,"cedr.8.en.13.ol",1.6
"412",2,"cedr.8.en.15.ol",2.4
"413",2,"compound.2",0
"414",2,"thujopsenal",2.6
"415",3,"alpha.pinene",1.4
"416",3,"para.cymene",0.3
"417",3,"alpha.terpineol",0.5
"418",3,"cedr.9.ene",1
"419",3,"alpha.cedrene",9.5
"420",3,"beta.cedrene",3.3
"421",3,"cis.thujopsene",22.8
"422",3,"alpha.himachalene",0.4
"423",3,"beta.chamigrene",1.1
"424",3,"cuparene",1.8
"425",3,"compound.1",2.4
"426",3,"alpha.chamigrene",0.6
"427",3,"widdrol",5.2
"428",3,"cedrol",14.2
"429",3,"beta.acorenol",0
"430",3,"alpha.acorenol",0
"431",3,"gamma.eudesmol",3.5
"432",3,"beta.eudesmol",3.5
"433",3,"alpha.eudesmol",1.8
"434",3,"cedr.8.en.13.ol",10.5
"435",3,"cedr.8.en.15.ol",2.4
"436",3,"compound.2",0.5
"437",3,"thujopsenal",2.8
"438",4,"alpha.pinene",0.2
"439",4,"para.cymene",1.1
"440",4,"alpha.terpineol",0.8
"441",4,"cedr.9.ene",1.1
"442",4,"alpha.cedrene",13.2
"443",4,"beta.cedrene",3.2
"444",4,"cis.thujopsene",12.5
"445",4,"alpha.himachalene",0.4
"446",4,"beta.chamigrene",1.8
"447",4,"cuparene",2.4
"448",4,"compound.1",4.8
"449",4,"alpha.chamigrene",1.3
"450",4,"widdrol",11.3
"451",4,"cedrol",7.5
"452",4,"beta.acorenol",0
"453",4,"alpha.acorenol",0
"454",4,"gamma.eudesmol",2.8
"455",4,"beta.eudesmol",2
"456",4,"alpha.eudesmol",1.3
"457",4,"cedr.8.en.13.ol",9.3
"458",4,"cedr.8.en.15.ol",1.7
"459",4,"compound.2",1.4
"460",4,"thujopsenal",1.8
"461",6,"alpha.pinene",0.3
"462",6,"para.cymene",0.1
"463",6,"alpha.terpineol",0.7
"464",6,"cedr.9.ene",0.7
"465",6,"alpha.cedrene",6.7
"466",6,"beta.cedrene",2.3
"467",6,"cis.thujopsene",19.98
"468",6,"alpha.himachalene",0.3
"469",6,"beta.chamigrene",0.8
"470",6,"cuparene",1.7
"471",6,"compound.1",2.4
"472",6,"alpha.chamigrene",0
"473",6,"widdrol",7.2
"474",6,"cedrol",21.2
"475",6,"beta.acorenol",1
"476",6,"alpha.acorenol",1
"477",6,"gamma.eudesmol",0
"478",6,"beta.eudesmol",0.7
"479",6,"alpha.eudesmol",0.3
"480",6,"cedr.8.en.13.ol",8.2
"481",6,"cedr.8.en.15.ol",2.8
"482",6,"compound.2",0.7
"483",6,"thujopsenal",1.8
"484",7,"alpha.pinene",0.1
"485",7,"para.cymene",0.1
"486",7,"alpha.terpineol",0.2
"487",7,"cedr.9.ene",1
"488",7,"alpha.cedrene",8.1
"489",7,"beta.cedrene",2.9
"490",7,"cis.thujopsene",14
"491",7,"alpha.himachalene",0.4
"492",7,"beta.chamigrene",0.9
"493",7,"cuparene",1.3
"494",7,"compound.1",2.4
"495",7,"alpha.chamigrene",0.7
"496",7,"widdrol",13.4
"497",7,"cedrol",17.9
"498",7,"beta.acorenol",1.3
"499",7,"alpha.acorenol",0
"500",7,"gamma.eudesmol",3
"501",7,"beta.eudesmol",3.3
"502",7,"alpha.eudesmol",1.4
"503",7,"cedr.8.en.13.ol",3.5
"504",7,"cedr.8.en.15.ol",1.4
"505",7,"compound.2",1.6
"506",7,"thujopsenal",2
"507",8,"alpha.pinene",0
"508",8,"para.cymene",0.1
"509",8,"alpha.terpineol",0.1
"510",8,"cedr.9.ene",0.3
"511",8,"alpha.cedrene",9.4
"512",8,"beta.cedrene",1.8
"513",8,"cis.thujopsene",9.3
"514",8,"alpha.himachalene",0.2
"515",8,"beta.chamigrene",1
"516",8,"cuparene",2.1
